id,child_type,created_at,end_time,number_of_machines,parent_type,project_id,remark,report_date,start_time,submit_timing,updated_at
13,Crane 12 Ton,2025-05-16 11:52:56.411369,11:36 AM,,Crane,255,aternoon%20report,16/05/2025,10:36 AM,afternoon,2025-05-16 11:52:56.411388
14,Crane 16 Ton,2025-05-16 11:52:56.459392,11:36 AM,,Crane,255,aternoon%20report,16/05/2025,10:36 AM,afternoon,2025-05-16 11:52:56.459402
15,Crane 12 Ton,2025-05-16 11:52:56.511103,11:37 AM,,Crane,255,,16/05/2025,9:37 AM,evening,2025-05-16 11:52:56.51112
16,Crane 16 Ton,2025-05-16 11:52:56.558888,11:37 AM,,Crane,255,,16/05/2025,8:37 AM,evening,2025-05-16 11:52:56.558901
17,Crane 12 Ton,2025-05-16 15:09:41.40399,6:00 PM,,Crane,252,,16/05/2025,9:00 AM,afternoon,2025-05-16 15:09:41.403999
18,Crane 12 Ton,2025-05-22 09:28:05.021868,12:00 AM,,Crane,250,,22/05/2025,12:00 AM,afternoon,2025-05-22 09:28:05.021872
19,Crane 16 Ton,2025-05-22 09:28:05.0864,12:00 AM,,Crane,250,,22/05/2025,12:00 AM,afternoon,2025-05-22 09:28:05.086414
20,Crane 20 Ton,2025-05-22 09:28:05.151462,12:00 AM,,Crane,250,,22/05/2025,12:00 AM,afternoon,2025-05-22 09:28:05.151465
21,Crane 30 Ton,2025-05-22 09:28:05.21601,12:00 AM,,Crane,250,,22/05/2025,12:00 AM,afternoon,2025-05-22 09:28:05.216013
22,Crane 50 Ton,2025-05-22 09:28:05.281079,12:00 AM,,Crane,250,,22/05/2025,12:00 AM,afternoon,2025-05-22 09:28:05.281081
23,Crane 80 Ton,2025-05-22 09:28:05.345532,12:00 AM,,Crane,250,,22/05/2025,12:00 AM,afternoon,2025-05-22 09:28:05.345535
24,Boom Lift 120 Feet,2025-05-22 09:28:05.410206,12:00 AM,,Boom,250,,22/05/2025,12:00 AM,afternoon,2025-05-22 09:28:05.410209
25,Boom Lift 80 Feet,2025-05-22 09:28:05.474903,12:00 AM,,Boom,250,,22/05/2025,12:00 AM,afternoon,2025-05-22 09:28:05.474905
26,Boom Lift 60 Feet,2025-05-22 09:28:05.53935,12:00 AM,,Boom,250,,22/05/2025,12:00 AM,afternoon,2025-05-22 09:28:05.539353
27,Boom Lift 45 Feet,2025-05-22 09:28:05.603916,12:00 AM,,Boom,250,,22/05/2025,12:00 AM,afternoon,2025-05-22 09:28:05.603919
28,Scissor Lift 18 mtr,2025-05-22 09:28:05.668482,12:00 AM,,Scissor,250,,22/05/2025,12:00 AM,afternoon,2025-05-22 09:28:05.668485
29,Crane 12 Ton,2025-05-22 09:29:56.453587,6:00 PM,,Crane,252,,22/05/2025,9:00 AM,afternoon,2025-05-22 09:29:56.45359
30,Crane 12 Ton,2025-05-22 12:07:19.873135,6:00 PM,,Crane,252,,22/05/2025,9:00 AM,evening,2025-05-22 12:07:19.873138
31,Crane 12 Ton,2025-05-22 12:10:55.293636,12:00 AM,,Crane,250,,22/05/2025,12:00 AM,evening,2025-05-22 12:10:55.293638
32,Crane 16 Ton,2025-05-22 12:10:55.359616,12:00 AM,,Crane,250,,22/05/2025,12:00 AM,evening,2025-05-22 12:10:55.359619
33,Crane 20 Ton,2025-05-22 12:10:55.425243,12:00 AM,,Crane,250,,22/05/2025,12:00 AM,evening,2025-05-22 12:10:55.425246
34,Crane 30 Ton,2025-05-22 12:10:55.49087,12:00 AM,,Crane,250,,22/05/2025,12:00 AM,evening,2025-05-22 12:10:55.490873
35,Crane 50 Ton,2025-05-22 12:10:55.556402,12:00 AM,,Crane,250,,22/05/2025,12:00 AM,evening,2025-05-22 12:10:55.556405
36,Crane 80 Ton,2025-05-22 12:10:55.622095,12:00 AM,,Crane,250,,22/05/2025,12:00 AM,evening,2025-05-22 12:10:55.622097
37,Boom Lift 120 Feet,2025-05-22 12:10:55.687572,12:00 AM,,Boom,250,,22/05/2025,12:00 AM,evening,2025-05-22 12:10:55.687575
38,Boom Lift 80 Feet,2025-05-22 12:10:55.75318,12:00 AM,,Boom,250,,22/05/2025,12:00 AM,evening,2025-05-22 12:10:55.753183
39,Boom Lift 60 Feet,2025-05-22 12:10:55.818753,12:00 AM,,Boom,250,,22/05/2025,12:00 AM,evening,2025-05-22 12:10:55.818756
40,Boom Lift 45 Feet,2025-05-22 12:10:55.884284,12:00 AM,,Boom,250,,22/05/2025,12:00 AM,evening,2025-05-22 12:10:55.884287
41,Scissor Lift 18 mtr,2025-05-22 12:10:55.949884,12:00 AM,,Scissor,250,,22/05/2025,12:00 AM,evening,2025-05-22 12:10:55.949887
42,Crane 16 Ton,2025-05-22 14:31:55.527148,6:00 PM,,Crane,253,Crane%20in%20Nikitha%20Scope-Monthly%20rental..pls%20deduct%20one%20day%20charge%20of%20crane%20from%20Siddharth%20enterprises%20,22/05/2025,9:00 AM,afternoon,2025-05-22 14:31:55.52715
43,Crane 16 Ton,2025-05-22 14:47:32.663052,6:00 PM,,Crane,253,,22/05/2025,9:00 AM,evening,2025-05-22 14:47:32.663055
