id,created_at,project_id,reported_date,reporting_time,status,updated_at,dir_remark,pe_remark,pm_remark,pe_expense_remark,pe_machinary_remark,pe_material_remark,man_power_remark,pm_expense_remark,pm_machinary_remark,pm_material_remark,pm_manpower_remark,pm_after_machinary_remark,pm_after_manpower_remark,pm_even_machinary_remark,pm_morn_manpower_remark,submitted_by,after_man_power_remark,morn_man_power_remark,lattitude,longitude,approved_by,dir_aft_mach_remark,dir_aft_man_remark,dir_evng_expense_remark,dir_evng_mach_remark,dir_evng_mat_remark,dir_morn_man_remark,dir_mach_remark,dir_man_remark,dir_material_remark,dir_expense_remark
21,2025-05-22 20:17:29.135865,253,22/05/2025,evening,approved,2025-05-22 21:03:28.161683,,,,,5%20Columns%20erected%2C%203%20Rafter%20erected%2C2%20Pipe%20strut%20erected%20%26%204%20tie%20beams%20erected%20,,,,,,,,,,,317,,,74.8036377,12.9743531,314,,,,,,,,,,
14,2025-05-22 10:33:55.034344,250,22/05/2025,morning,approved,2025-05-22 21:16:33.856707,,,,,,,,,,,,,,,,315,,,77.0525047,13.5261012,320,,,,,,,,,,
15,2025-05-22 14:58:05.733435,250,22/05/2025,afternoon,approved,2025-05-22 21:16:33.856851,,,,,,,,,,,,,,,,315,,,77.054067,13.536976,320,,,,,,,,,,
18,2025-05-22 17:40:52.867752,250,22/05/2025,evening,approved,2025-05-22 21:16:33.856896,,,,,,,,,,,,,,,,315,,,77.0540524,13.5369971,320,,,,,,,,,,
13,2025-05-22 10:32:36.633214,252,22/05/2025,morning,approved,2025-05-22 21:16:51.872037,,,,,,,,,,,,,,,,315,,,0.0,0.0,320,,,,,,,,,,
16,2025-05-22 14:59:56.519021,252,22/05/2025,afternoon,approved,2025-05-22 21:16:51.872125,,,,,,,,,,,,,,,,315,,,77.054092,13.5369628,320,,,,,,,,,,
7,2025-05-16 09:50:51.547204,252,16/05/2025,morning,pending,2025-05-16 09:50:51.547238,,,,,,,,,,,,,,,,315,,,77.0532467,13.5248139,,,,,,,,,,,
8,2025-05-16 09:51:17.23869,250,16/05/2025,morning,pending,2025-05-16 09:51:17.238726,,,,,,,,,,,,,,,,315,,,77.053361,13.5247623,,,,,,,,,,,
17,2025-05-22 17:37:15.924626,252,22/05/2025,evening,approved,2025-05-22 21:16:51.872152,,,,,,,,,,,,,,,,315,,,77.0540524,13.5369971,320,,,,,,,,,,
12,2025-05-16 20:39:41.471686,252,16/05/2025,afternoon,pending,2025-05-16 20:39:41.471732,,,,,,,,,,,,,,,,315,,,77.5194578,12.9668651,,,,,,,,,,,
