id,amount,child_type,parent_type,project_id,report_timing,reporting_date
1,120,Staff Accommodation,Staff Expenses,249,evening,12/05/2025
2,1220,Travel Expenses,Staff Expenses,249,evening,12/05/2025
3,1560,Food Expenses,Staff Expenses,249,evening,12/05/2025
4,1230,Site Allowance,Staff Expenses,249,evening,12/05/2025
5,12340,Other Purchases,Staff Expenses,249,evening,12/05/2025
6,450,Workmen Wages (incl. OT),Labour Expenses,249,evening,12/05/2025
7,560,Workmen Food,Labour Expenses,249,evening,12/05/2025
8,0,Workmen Accommodation,Labour Expenses,249,evening,12/05/2025
9,0,Workmen Travel,Labour Expenses,249,evening,12/05/2025
10,0,Miscellaneous Labour Expenses,Labour Expenses,249,evening,12/05/2025
11,0,Rental Charges,Machinery Expenses,249,evening,12/05/2025
12,0,Repair Charges,Machinery Expenses,249,evening,12/05/2025
13,0,Diesel,Machinery Expenses,249,evening,12/05/2025
14,0,Operator Charges,Machinery Expenses,249,evening,12/05/2025
15,0,Miscellaneous Machinery Expenses,Machinery Expenses,249,evening,12/05/2025
16,0,"Materials (Paints, ...)",Material Purchases - Project Related,249,evening,12/05/2025
17,0,Consumables Purchases,Material Purchases - Project Related,249,evening,12/05/2025
18,0,Minor Tools,Material Purchases - Project Related,249,evening,12/05/2025
19,0,"Materials Loading, Unloading incl. Weighments",Material Purchases - Project Related,249,evening,12/05/2025
20,0,Miscellaneous Material Expenses,Material Purchases - Project Related,249,evening,12/05/2025
21,0,Client Welfare,Sundries Expenses,249,evening,12/05/2025
22,0,Pooja/Inaugural function at site,Sundries Expenses,249,evening,12/05/2025
23,0,Gifts for Client,Sundries Expenses,249,evening,12/05/2025
24,0,Miscellaneous,Sundries Expenses,249,evening,12/05/2025
25,100,Staff Accommodation,Staff Expenses,248,evening,12/05/2025
26,100,Travel Expenses,Staff Expenses,248,evening,12/05/2025
27,100,Food Expenses,Staff Expenses,248,evening,12/05/2025
28,100,Site Allowance,Staff Expenses,248,evening,12/05/2025
29,100,Other Purchases,Staff Expenses,248,evening,12/05/2025
30,0,Workmen Wages (incl. OT),Labour Expenses,248,evening,12/05/2025
31,0,Workmen Food,Labour Expenses,248,evening,12/05/2025
32,0,Workmen Accommodation,Labour Expenses,248,evening,12/05/2025
33,0,Workmen Travel,Labour Expenses,248,evening,12/05/2025
34,0,Miscellaneous Labour Expenses,Labour Expenses,248,evening,12/05/2025
35,5000,Rental Charges,Machinery Expenses,248,evening,12/05/2025
36,0,Repair Charges,Machinery Expenses,248,evening,12/05/2025
37,0,Diesel,Machinery Expenses,248,evening,12/05/2025
38,0,Operator Charges,Machinery Expenses,248,evening,12/05/2025
39,0,Miscellaneous Machinery Expenses,Machinery Expenses,248,evening,12/05/2025
40,0,"Materials (Paints, ...)",Material Purchases - Project Related,248,evening,12/05/2025
41,0,Consumables Purchases,Material Purchases - Project Related,248,evening,12/05/2025
42,0,Minor Tools,Material Purchases - Project Related,248,evening,12/05/2025
43,0,"Materials Loading, Unloading incl. Weighments",Material Purchases - Project Related,248,evening,12/05/2025
44,0,Miscellaneous Material Expenses,Material Purchases - Project Related,248,evening,12/05/2025
45,10,Client Welfare,Sundries Expenses,248,evening,12/05/2025
46,10,Pooja/Inaugural function at site,Sundries Expenses,248,evening,12/05/2025
47,0,Gifts for Client,Sundries Expenses,248,evening,12/05/2025
48,0,Miscellaneous,Sundries Expenses,248,evening,12/05/2025
49,10,Staff Accommodation,Staff Expenses,255,evening,16/05/2025
50,10,Travel Expenses,Staff Expenses,255,evening,16/05/2025
51,10,Food Expenses,Staff Expenses,255,evening,16/05/2025
52,10,Site Allowance,Staff Expenses,255,evening,16/05/2025
53,10,Other Purchases,Staff Expenses,255,evening,16/05/2025
54,10,Workmen Wages (incl. OT),Labour Expenses,255,evening,16/05/2025
55,10,Workmen Food,Labour Expenses,255,evening,16/05/2025
56,10,Workmen Accommodation,Labour Expenses,255,evening,16/05/2025
57,10,Workmen Travel,Labour Expenses,255,evening,16/05/2025
58,10,Miscellaneous Labour Expenses,Labour Expenses,255,evening,16/05/2025
59,10,Rental Charges,Machinery Expenses,255,evening,16/05/2025
60,10,Repair Charges,Machinery Expenses,255,evening,16/05/2025
61,10,Diesel,Machinery Expenses,255,evening,16/05/2025
62,10,Operator Charges,Machinery Expenses,255,evening,16/05/2025
63,10,Miscellaneous Machinery Expenses,Machinery Expenses,255,evening,16/05/2025
64,10,"Materials (Paints, ...)",Material Purchases - Project Related,255,evening,16/05/2025
65,10,Consumables Purchases,Material Purchases - Project Related,255,evening,16/05/2025
66,10,Minor Tools,Material Purchases - Project Related,255,evening,16/05/2025
67,10,"Materials Loading, Unloading incl. Weighments",Material Purchases - Project Related,255,evening,16/05/2025
68,10,Miscellaneous Material Expenses,Material Purchases - Project Related,255,evening,16/05/2025
69,10,Client Welfare,Sundries Expenses,255,evening,16/05/2025
70,10,Pooja/Inaugural function at site,Sundries Expenses,255,evening,16/05/2025
71,10,Gifts for Client,Sundries Expenses,255,evening,16/05/2025
72,10,Miscellaneous,Sundries Expenses,255,evening,16/05/2025
73,0,Staff Accommodation,Staff Expenses,252,evening,22/05/2025
74,0,Travel Expenses,Staff Expenses,252,evening,22/05/2025
75,0,Food Expenses,Staff Expenses,252,evening,22/05/2025
76,0,Site Allowance,Staff Expenses,252,evening,22/05/2025
77,0,Other Purchases,Staff Expenses,252,evening,22/05/2025
78,0,Workmen Wages (incl. OT),Labour Expenses,252,evening,22/05/2025
79,0,Workmen Food,Labour Expenses,252,evening,22/05/2025
80,0,Workmen Accommodation,Labour Expenses,252,evening,22/05/2025
81,0,Workmen Travel,Labour Expenses,252,evening,22/05/2025
82,0,Miscellaneous Labour Expenses,Labour Expenses,252,evening,22/05/2025
83,0,Rental Charges,Machinery Expenses,252,evening,22/05/2025
84,0,Repair Charges,Machinery Expenses,252,evening,22/05/2025
85,0,Diesel,Machinery Expenses,252,evening,22/05/2025
86,0,Operator Charges,Machinery Expenses,252,evening,22/05/2025
87,0,Miscellaneous Machinery Expenses,Machinery Expenses,252,evening,22/05/2025
88,0,"Materials (Paints, ...)",Material Purchases - Project Related,252,evening,22/05/2025
89,0,Consumables Purchases,Material Purchases - Project Related,252,evening,22/05/2025
90,0,Minor Tools,Material Purchases - Project Related,252,evening,22/05/2025
91,0,"Materials Loading, Unloading incl. Weighments",Material Purchases - Project Related,252,evening,22/05/2025
92,0,Miscellaneous Material Expenses,Material Purchases - Project Related,252,evening,22/05/2025
93,0,Client Welfare,Sundries Expenses,252,evening,22/05/2025
94,0,Pooja/Inaugural function at site,Sundries Expenses,252,evening,22/05/2025
95,0,Gifts for Client,Sundries Expenses,252,evening,22/05/2025
96,0,Miscellaneous,Sundries Expenses,252,evening,22/05/2025
97,0,Staff Accommodation,Staff Expenses,250,evening,22/05/2025
98,0,Travel Expenses,Staff Expenses,250,evening,22/05/2025
99,0,Food Expenses,Staff Expenses,250,evening,22/05/2025
100,0,Site Allowance,Staff Expenses,250,evening,22/05/2025
101,0,Other Purchases,Staff Expenses,250,evening,22/05/2025
102,0,Workmen Wages (incl. OT),Labour Expenses,250,evening,22/05/2025
103,0,Workmen Food,Labour Expenses,250,evening,22/05/2025
104,0,Workmen Accommodation,Labour Expenses,250,evening,22/05/2025
105,0,Workmen Travel,Labour Expenses,250,evening,22/05/2025
106,0,Miscellaneous Labour Expenses,Labour Expenses,250,evening,22/05/2025
107,0,Rental Charges,Machinery Expenses,250,evening,22/05/2025
108,0,Repair Charges,Machinery Expenses,250,evening,22/05/2025
109,0,Diesel,Machinery Expenses,250,evening,22/05/2025
110,0,Operator Charges,Machinery Expenses,250,evening,22/05/2025
111,0,Miscellaneous Machinery Expenses,Machinery Expenses,250,evening,22/05/2025
112,0,"Materials (Paints, ...)",Material Purchases - Project Related,250,evening,22/05/2025
113,0,Consumables Purchases,Material Purchases - Project Related,250,evening,22/05/2025
114,0,Minor Tools,Material Purchases - Project Related,250,evening,22/05/2025
115,0,"Materials Loading, Unloading incl. Weighments",Material Purchases - Project Related,250,evening,22/05/2025
116,0,Miscellaneous Material Expenses,Material Purchases - Project Related,250,evening,22/05/2025
117,0,Client Welfare,Sundries Expenses,250,evening,22/05/2025
118,0,Pooja/Inaugural function at site,Sundries Expenses,250,evening,22/05/2025
119,0,Gifts for Client,Sundries Expenses,250,evening,22/05/2025
120,0,Miscellaneous,Sundries Expenses,250,evening,22/05/2025
121,0,Staff Accommodation,Staff Expenses,253,evening,22/05/2025
122,0,Travel Expenses,Staff Expenses,253,evening,22/05/2025
123,300,Food Expenses,Staff Expenses,253,evening,22/05/2025
124,0,Site Allowance,Staff Expenses,253,evening,22/05/2025
125,0,Other Purchases,Staff Expenses,253,evening,22/05/2025
126,0,Workmen Wages (incl. OT),Labour Expenses,253,evening,22/05/2025
127,0,Workmen Food,Labour Expenses,253,evening,22/05/2025
128,0,Workmen Accommodation,Labour Expenses,253,evening,22/05/2025
129,0,Workmen Travel,Labour Expenses,253,evening,22/05/2025
130,0,Miscellaneous Labour Expenses,Labour Expenses,253,evening,22/05/2025
131,0,Rental Charges,Machinery Expenses,253,evening,22/05/2025
132,0,Repair Charges,Machinery Expenses,253,evening,22/05/2025
133,0,Diesel,Machinery Expenses,253,evening,22/05/2025
134,0,Operator Charges,Machinery Expenses,253,evening,22/05/2025
135,0,Miscellaneous Machinery Expenses,Machinery Expenses,253,evening,22/05/2025
136,0,"Materials (Paints, ...)",Material Purchases - Project Related,253,evening,22/05/2025
137,0,Consumables Purchases,Material Purchases - Project Related,253,evening,22/05/2025
138,0,Minor Tools,Material Purchases - Project Related,253,evening,22/05/2025
139,0,"Materials Loading, Unloading incl. Weighments",Material Purchases - Project Related,253,evening,22/05/2025
140,0,Miscellaneous Material Expenses,Material Purchases - Project Related,253,evening,22/05/2025
141,0,Client Welfare,Sundries Expenses,253,evening,22/05/2025
142,0,Pooja/Inaugural function at site,Sundries Expenses,253,evening,22/05/2025
143,0,Gifts for Client,Sundries Expenses,253,evening,22/05/2025
144,0,Miscellaneous,Sundries Expenses,253,evening,22/05/2025
145,0,Staff Accommodation,Staff Expenses,253,evening,23/05/2025
146,0,Travel Expenses,Staff Expenses,253,evening,23/05/2025
147,0,Food Expenses,Staff Expenses,253,evening,23/05/2025
148,0,Site Allowance,Staff Expenses,253,evening,23/05/2025
149,0,Other Purchases,Staff Expenses,253,evening,23/05/2025
150,0,Workmen Wages (incl. OT),Labour Expenses,253,evening,23/05/2025
151,0,Workmen Food,Labour Expenses,253,evening,23/05/2025
152,0,Workmen Accommodation,Labour Expenses,253,evening,23/05/2025
153,0,Workmen Travel,Labour Expenses,253,evening,23/05/2025
154,0,Miscellaneous Labour Expenses,Labour Expenses,253,evening,23/05/2025
155,0,Rental Charges,Machinery Expenses,253,evening,23/05/2025
156,0,Repair Charges,Machinery Expenses,253,evening,23/05/2025
157,0,Diesel,Machinery Expenses,253,evening,23/05/2025
158,0,Operator Charges,Machinery Expenses,253,evening,23/05/2025
159,0,Miscellaneous Machinery Expenses,Machinery Expenses,253,evening,23/05/2025
160,0,"Materials (Paints, ...)",Material Purchases - Project Related,253,evening,23/05/2025
161,0,Consumables Purchases,Material Purchases - Project Related,253,evening,23/05/2025
162,0,Minor Tools,Material Purchases - Project Related,253,evening,23/05/2025
163,0,"Materials Loading, Unloading incl. Weighments",Material Purchases - Project Related,253,evening,23/05/2025
164,0,Miscellaneous Material Expenses,Material Purchases - Project Related,253,evening,23/05/2025
165,0,Client Welfare,Sundries Expenses,253,evening,23/05/2025
166,0,Pooja/Inaugural function at site,Sundries Expenses,253,evening,23/05/2025
167,0,Gifts for Client,Sundries Expenses,253,evening,23/05/2025
168,0,Miscellaneous,Sundries Expenses,253,evening,23/05/2025
169,0,Staff Accommodation,Staff Expenses,250,evening,23/05/2025
170,0,Travel Expenses,Staff Expenses,250,evening,23/05/2025
171,0,Food Expenses,Staff Expenses,250,evening,23/05/2025
172,0,Site Allowance,Staff Expenses,250,evening,23/05/2025
173,0,Other Purchases,Staff Expenses,250,evening,23/05/2025
174,0,Workmen Wages (incl. OT),Labour Expenses,250,evening,23/05/2025
175,0,Workmen Food,Labour Expenses,250,evening,23/05/2025
176,0,Workmen Accommodation,Labour Expenses,250,evening,23/05/2025
177,0,Workmen Travel,Labour Expenses,250,evening,23/05/2025
178,0,Miscellaneous Labour Expenses,Labour Expenses,250,evening,23/05/2025
179,0,Rental Charges,Machinery Expenses,250,evening,23/05/2025
180,0,Repair Charges,Machinery Expenses,250,evening,23/05/2025
181,0,Diesel,Machinery Expenses,250,evening,23/05/2025
182,0,Operator Charges,Machinery Expenses,250,evening,23/05/2025
183,0,Miscellaneous Machinery Expenses,Machinery Expenses,250,evening,23/05/2025
184,0,"Materials (Paints, ...)",Material Purchases - Project Related,250,evening,23/05/2025
185,0,Consumables Purchases,Material Purchases - Project Related,250,evening,23/05/2025
186,0,Minor Tools,Material Purchases - Project Related,250,evening,23/05/2025
187,0,"Materials Loading, Unloading incl. Weighments",Material Purchases - Project Related,250,evening,23/05/2025
188,0,Miscellaneous Material Expenses,Material Purchases - Project Related,250,evening,23/05/2025
189,0,Client Welfare,Sundries Expenses,250,evening,23/05/2025
190,0,Pooja/Inaugural function at site,Sundries Expenses,250,evening,23/05/2025
