id,created_at,man_count,man_power_type,reported_date,reporting_time,updated_at,project_id,remark
25,2025-05-12 18:18:14.740732,10,Welder / Gas Cutter / Grinder,12/05/2025,morning,2025-05-12 18:18:14.740734,248,
26,2025-05-12 18:18:14.802327,10,Fitter / Fabricator,12/05/2025,morning,2025-05-12 18:18:14.802335,248,
27,2025-05-12 18:18:14.863896,10,Rigger / Helper,12/05/2025,morning,2025-05-12 18:18:14.863899,248,
28,2025-05-12 18:18:14.925472,1,Signal Man / Fire Man,12/05/2025,morning,2025-05-12 18:18:14.925475,248,
29,2025-05-12 18:18:14.987187,10,Daily Wage Labour,12/05/2025,morning,2025-05-12 18:18:14.987189,248,
30,2025-05-12 18:18:15.048769,10,Others,12/05/2025,morning,2025-05-12 18:18:15.048772,248,
31,2025-05-12 18:19:41.354694,10,Welder / Gas Cutter / Grinder,12/05/2025,afternoon,2025-05-12 18:19:41.354696,248,
32,2025-05-12 18:19:41.416898,10,Fitter / Fabricator,12/05/2025,afternoon,2025-05-12 18:19:41.4169,248,
33,2025-05-12 18:19:41.479068,10,Rigger / Helper,12/05/2025,afternoon,2025-05-12 18:19:41.47907,248,
34,2025-05-12 18:19:41.541297,1,Signal Man / Fire Man,12/05/2025,afternoon,2025-05-12 18:19:41.541299,248,
35,2025-05-12 18:19:41.603414,10,Daily Wage Labour,12/05/2025,afternoon,2025-05-12 18:19:41.603417,248,
36,2025-05-12 18:19:41.665937,10,Others,12/05/2025,afternoon,2025-05-12 18:19:41.66594,248,
7,2025-05-13 07:39:39.346662,10,Welder / Gas Cutter / Grinder,12/05/2025,morning,2025-05-13 07:39:39.346666,249,
8,2025-05-13 07:39:39.410523,30,Fitter / Fabricator,12/05/2025,morning,2025-05-13 07:39:39.410527,249,
9,2025-05-13 07:39:39.474654,50,Rigger / Helper,12/05/2025,morning,2025-05-13 07:39:39.474658,249,
10,2025-05-13 07:39:39.538657,40,Signal Man / Fire Man,12/05/2025,morning,2025-05-13 07:39:39.53866,249,
11,2025-05-13 07:39:39.602425,40,Daily Wage Labour,12/05/2025,morning,2025-05-13 07:39:39.602429,249,
12,2025-05-13 07:39:39.666056,40,Others,12/05/2025,morning,2025-05-13 07:39:39.666061,249,
19,2025-05-13 07:39:39.729797,90,Welder / Gas Cutter / Grinder,12/05/2025,afternoon,2025-05-13 07:39:39.729802,249,jhjjh
20,2025-05-13 07:39:39.793925,80,Fitter / Fabricator,12/05/2025,afternoon,2025-05-13 07:39:39.793929,249,jhjjh
21,2025-05-13 07:39:39.857576,10,Rigger / Helper,12/05/2025,afternoon,2025-05-13 07:39:39.85758,249,jhjjh
22,2025-05-13 07:39:39.9214,10,Signal Man / Fire Man,12/05/2025,afternoon,2025-05-13 07:39:39.921405,249,jhjjh
23,2025-05-13 07:39:39.985067,10,Daily Wage Labour,12/05/2025,afternoon,2025-05-13 07:39:39.985071,249,jhjjh
24,2025-05-13 07:39:40.048907,0,Others,12/05/2025,afternoon,2025-05-13 07:39:40.048912,249,jhjjh
37,2025-05-16 04:20:50.708184,2,Welder / Gas Cutter / Grinder,16/05/2025,morning,2025-05-16 04:20:50.708193,252,
38,2025-05-16 04:20:50.77208,2,Fitter / Fabricator,16/05/2025,morning,2025-05-16 04:20:50.772086,252,
39,2025-05-16 04:20:50.836939,6,Rigger / Helper,16/05/2025,morning,2025-05-16 04:20:50.836945,252,
40,2025-05-16 04:20:50.901103,0,Signal Man / Fire Man,16/05/2025,morning,2025-05-16 04:20:50.901109,252,
41,2025-05-16 04:20:50.964979,0,Daily Wage Labour,16/05/2025,morning,2025-05-16 04:20:50.964985,252,
42,2025-05-16 04:20:51.028842,0,Others,16/05/2025,morning,2025-05-16 04:20:51.028849,252,
43,2025-05-16 04:21:16.396277,2,Fitter / Fabricator,16/05/2025,morning,2025-05-16 04:21:16.396283,250,
44,2025-05-16 04:21:16.461004,2,Rigger / Helper,16/05/2025,morning,2025-05-16 04:21:16.46101,250,
45,2025-05-16 04:21:16.525594,0,Welder / Gas Cutter / Grinder,16/05/2025,morning,2025-05-16 04:21:16.5256,250,
46,2025-05-16 04:21:16.590193,0,Signal Man / Fire Man,16/05/2025,morning,2025-05-16 04:21:16.5902,250,
47,2025-05-16 04:21:16.654929,0,Daily Wage Labour,16/05/2025,morning,2025-05-16 04:21:16.654934,250,
48,2025-05-16 04:21:16.719507,0,Others,16/05/2025,morning,2025-05-16 04:21:16.719514,250,
49,2025-05-16 11:52:56.855407,10,Welder / Gas Cutter / Grinder,16/05/2025,morning,2025-05-16 11:52:56.855441,255,
50,2025-05-16 11:52:56.904546,10,Fitter / Fabricator,16/05/2025,morning,2025-05-16 11:52:56.904559,255,
51,2025-05-16 11:52:56.952623,10,Rigger / Helper,16/05/2025,morning,2025-05-16 11:52:56.952637,255,
52,2025-05-16 11:52:57.00025,10,Signal Man / Fire Man,16/05/2025,morning,2025-05-16 11:52:57.000268,255,
53,2025-05-16 11:52:57.04797,10,Daily Wage Labour,16/05/2025,morning,2025-05-16 11:52:57.047981,255,
54,2025-05-16 11:52:57.095329,10,Others,16/05/2025,morning,2025-05-16 11:52:57.095346,255,
55,2025-05-16 11:52:57.14523,10,Welder / Gas Cutter / Grinder,16/05/2025,afternoon,2025-05-16 11:52:57.145242,255,aternoon%20manpower
56,2025-05-16 11:52:57.194093,10,Fitter / Fabricator,16/05/2025,afternoon,2025-05-16 11:52:57.194105,255,aternoon%20manpower
