id,daily_report_date,daily_report_timing,project_boq_scope_id,project_id,request_date,used_material,line_id
6580,02/08/2025,evening,62,250,,0,101
6581,02/08/2025,evening,61,250,,0,106
6582,02/08/2025,evening,69,250,,0,107
6583,02/08/2025,evening,66,250,,0,113
6584,02/08/2025,evening,65,250,,10,117
6585,02/08/2025,evening,64,250,,20,121
6586,02/08/2025,evening,72,250,,0,2
6587,02/08/2025,evening,68,250,,0,57
6588,02/08/2025,evening,70,250,,10,59
6589,02/08/2025,evening,71,250,,0,62
6590,02/08/2025,evening,67,250,,10,77
6591,02/08/2025,evening,63,250,,0,143
27,12/05/2025,evening,50,248,,140,101
28,12/05/2025,evening,49,248,,12,106
29,12/05/2025,evening,57,248,,139,107
30,12/05/2025,evening,54,248,,11,113
31,12/05/2025,evening,53,248,,766,117
32,12/05/2025,evening,52,248,,677,121
33,12/05/2025,evening,60,248,,224,2
34,12/05/2025,evening,56,248,,910,57
35,12/05/2025,evening,58,248,,140,59
36,12/05/2025,evening,59,248,,69,62
37,12/05/2025,evening,55,248,,120,77
38,12/05/2025,evening,51,248,,2,143
6593,04/08/2025,evening,62,250,,0,101
6594,04/08/2025,evening,61,250,,0,106
6595,04/08/2025,evening,69,250,,0,107
6596,04/08/2025,evening,66,250,,0,113
6597,04/08/2025,evening,65,250,,30,117
6598,04/08/2025,evening,64,250,,0,121
6599,04/08/2025,evening,72,250,,0,2
6600,04/08/2025,evening,68,250,,50,57
6601,04/08/2025,evening,70,250,,10,59
6602,04/08/2025,evening,71,250,,0,62
6603,04/08/2025,evening,67,250,,0,77
6604,04/08/2025,evening,63,250,,0,143
14,12/05/2025,evening,26,249,,30,101
15,12/05/2025,evening,25,249,,1,106
16,12/05/2025,evening,33,249,,1,107
17,12/05/2025,evening,30,249,,10,113
18,12/05/2025,evening,29,249,,0,117
19,12/05/2025,evening,28,249,,10,121
20,12/05/2025,evening,36,249,,10,2
21,12/05/2025,evening,32,249,,0,57
22,12/05/2025,evening,34,249,,0,59
23,12/05/2025,evening,35,249,,0,62
24,12/05/2025,evening,31,249,,0,77
25,12/05/2025,evening,27,249,,0,143
11013,21/11/2025,evening,258,251,,0,173
11014,21/11/2025,evening,259,251,,0,174
11015,21/11/2025,evening,260,251,,0,113
6608,04/08/2025,evening,261,251,,0,175
6609,04/08/2025,evening,262,251,,0,112
11016,21/11/2025,evening,261,251,,0,175
11017,21/11/2025,evening,262,251,,0,112
11018,21/11/2025,evening,263,251,,0,107
6613,04/08/2025,evening,267,251,,0,178
11019,21/11/2025,evening,264,251,,0,176
11020,21/11/2025,evening,265,251,,0,105
6616,04/08/2025,evening,273,251,,0,121
43,16/05/2025,evening,111,255,,10,101
44,16/05/2025,evening,110,255,,10,106
45,16/05/2025,evening,118,255,,10,107
46,16/05/2025,evening,115,255,,10,113
47,16/05/2025,evening,114,255,,10,117
48,16/05/2025,evening,113,255,,10,121
49,16/05/2025,evening,121,255,,10,2
50,16/05/2025,evening,117,255,,10,57
51,16/05/2025,evening,119,255,,10,59
52,16/05/2025,evening,120,255,,10,62
53,16/05/2025,evening,116,255,,10,77
54,16/05/2025,evening,112,255,,2,143
56,22/05/2025,evening,73,252,,111,101
57,22/05/2025,evening,79,252,,112,107
58,22/05/2025,evening,76,252,,69,113
59,22/05/2025,evening,75,252,,437,117
60,22/05/2025,evening,74,252,,460,121
61,22/05/2025,evening,86,252,,0,1
62,22/05/2025,evening,81,252,,0,2
63,22/05/2025,evening,87,252,,0,3
